Date,Like,Engagement,Post
7/5/2020,3924418,3940826,787
7/6/2020,3100810,3113819,785
7/7/2020,3625799,3644408,809
7/8/2020,3766130,3783637,827
7/9/2020,3604805,3622545,865
7/10/2020,3509947,3526642,808
7/11/2020,3568346,3589470,804
7/12/2020,4233266,4253604,779
7/13/2020,4343305,4365160,807
7/14/2020,3891345,3911542,859
7/15/2020,4005427,4023198,881
7/16/2020,4377712,4399129,902
7/17/2020,4181633,4199435,888
7/18/2020,3949458,3973753,834
7/19/2020,4210756,4228914,859
7/20/2020,4340345,4359229,851
7/21/2020,4212245,4227586,869
7/22/2020,4450485,4467984,833
7/23/2020,4040760,4058320,849
7/24/2020,4367054,4384460,838
7/25/2020,4992156,5018167,821
7/26/2020,4080548,4097693,789
7/27/2020,3842008,3858930,829
7/28/2020,3901944,3918875,792
7/29/2020,4133277,4151314,902
7/30/2020,4177315,4196074,909
7/31/2020,3906142,3922570,889
8/1/2020,3889961,3905176,827
8/2/2020,4230468,4247553,821
8/3/2020,3836511,3852112,857
8/4/2020,4129346,4144610,943
8/5/2020,3163559,3177549,853
8/6/2020,4206158,4224554,847
8/7/2020,3888047,3902294,851
8/8/2020,3594260,3612834,854
8/9/2020,3556353,3576697,796
8/10/2020,3258836,3271340,870
8/11/2020,3912967,3931558,880
8/12/2020,3625987,3640410,864
8/13/2020,3766094,3784228,848
8/14/2020,3901675,3917792,825
8/15/2020,3584071,3598393,806
8/16/2020,3632745,3649328,773
8/17/2020,3295297,3309364,868
8/18/2020,3523253,3538017,818
8/19/2020,4018052,4041667,886
8/20/2020,3360715,3376977,824
8/21/2020,4188459,4206207,891
8/22/2020,3524512,3542125,816
8/23/2020,3843017,3857417,776
8/24/2020,3495353,3509652,841
8/25/2020,3728111,3744067,864
8/26/2020,4024749,4039971,864
8/27/2020,3668001,3683724,823
8/28/2020,3708537,3723203,894
8/29/2020,3223908,3237411,786
8/30/2020,4204926,4219833,758
8/31/2020,3441947,3457607,875
9/1/2020,3625432,3639960,864
9/2/2020,3699407,3723255,838
9/3/2020,3248860,3263579,851
9/4/2020,3576522,3591695,865
9/5/2020,4322791,4338787,819
9/6/2020,3770112,3784671,769
9/7/2020,4328054,4346155,774
9/8/2020,3633149,3647578,895
9/9/2020,3638105,3653695,867
9/10/2020,3507381,3523559,832
9/11/2020,2962251,2974287,810
9/12/2020,4020170,4039389,828
9/13/2020,3285908,3300788,761
9/14/2020,3479580,3496020,797
9/15/2020,3411379,3427496,769
9/16/2020,3846904,3862780,798
9/17/2020,3463459,3478509,848
9/18/2020,3546792,3561378,907
9/19/2020,3430088,3446076,731
9/20/2020,3450722,3464120,714
9/21/2020,3855743,3870756,784
9/22/2020,3504894,3522399,823
9/23/2020,4062863,4078543,834
9/24/2020,3765899,3780310,892
9/25/2020,3372045,3387376,857
9/26/2020,3728309,3747170,837
9/27/2020,3865145,3883597,800
9/28/2020,3062236,3074042,758
9/29/2020,3476519,3488766,810
9/30/2020,3658047,3673900,830
10/1/2020,3315738,3328937,864
10/2/2020,3510085,3524435,860
10/3/2020,3199670,3213627,770
10/4/2020,3272907,3285769,717
10/5/2020,3609691,3624108,851
10/6/2020,3438847,3454493,838
10/7/2020,3113928,3126685,844
10/8/2020,3775018,3789080,852
10/9/2020,3301000,3316160,838
10/10/2020,2975517,2989484,782
10/11/2020,3461628,3479657,804
10/12/2020,3259333,3273190,761
10/13/2020,3849927,3863840,768
10/14/2020,3985568,4003661,815
10/15/2020,4054154,4070310,781
10/16/2020,4826249,4862923,855
10/17/2020,4420067,4472809,632
10/18/2020,3391820,3405986,624
10/19/2020,3570488,3584969,780
10/20/2020,3202946,3216648,751
10/21/2020,3108974,3124250,781
10/22/2020,4213050,4233398,832
10/23/2020,2958377,2970314,812
10/24/2020,3208039,3224252,780
10/25/2020,3296050,3309096,753
10/26/2020,3266667,3280202,792
10/27/2020,4117181,4134156,848
10/28/2020,3515188,3530862,816
10/29/2020,3157257,3170028,824
10/30/2020,3504266,3517412,828
10/31/2020,3751408,3765627,895
11/1/2020,2826330,2838130,816
11/2/2020,2921542,2935653,834
11/3/2020,2724471,2736028,833
11/4/2020,3439487,3453581,889
11/5/2020,3773136,3786778,1019
11/6/2020,4211172,4227477,895
11/7/2020,4161187,4180904,859
11/8/2020,3426523,3438788,773
11/9/2020,3961792,3975406,833
11/10/2020,3236372,3250371,887
11/11/2020,3702446,3716286,880
11/12/2020,3455458,3471512,868
11/13/2020,4539986,4557255,903
11/14/2020,3392930,3407958,807
11/15/2020,5013887,5033253,785
11/16/2020,4819956,4836822,835
11/17/2020,3521555,3535235,841
11/18/2020,4410085,4427105,783
11/19/2020,3618603,3631971,850
11/20/2020,3871202,3884779,832
11/21/2020,3214659,3231014,777
11/22/2020,3869380,3884232,800
11/23/2020,3597729,3612160,854
11/24/2020,3491398,3504603,834
11/25/2020,3554585,3568492,848
11/26/2020,3398022,3411194,907
11/27/2020,3807756,3820654,895
11/28/2020,3755232,3770395,821
11/29/2020,3804573,3818241,757
11/30/2020,3059011,3072301,751
12/1/2020,3901723,3915720,872
12/2/2020,2979049,2991886,805
12/3/2020,3750688,3762951,866
12/4/2020,2966621,2977219,816
12/5/2020,4204109,4220188,847
12/6/2020,3929356,3944224,795
12/7/2020,2957487,2968825,780
12/8/2020,3624194,3636460,781
12/9/2020,3146083,3157950,885
12/10/2020,3703803,3716494,854
12/11/2020,3871001,3886230,874
12/12/2020,3542598,3561079,799
12/13/2020,3781808,3795055,762
12/14/2020,2978049,2989055,765
12/15/2020,3193319,3205710,803
12/16/2020,3812780,3825765,814
12/17/2020,3664380,3677533,795
12/18/2020,2909865,2921453,814
12/19/2020,3116778,3127379,774
12/20/2020,3800140,3816458,725
12/21/2020,3399343,3413646,775
12/22/2020,3734691,3749904,805
12/23/2020,3446748,3460012,831
12/24/2020,3585524,3599607,918
12/25/2020,4860083,4882443,985
12/26/2020,3093468,3106774,753
12/27/2020,3202200,3214429,731
12/28/2020,3800693,3814077,788
12/29/2020,3712617,3725219,762
12/30/2020,3314888,3327703,755
12/31/2020,3825696,3842914,807
